# Revision 1.0,13-Feb-14,Initial release,,,,,,,,,,
# Revision 1.1,14-May-14,"Added csfBGA256, csfBGA324, caBGA324, caBGA400 packages",,,,,,,,,,
# Revision 1.2,12-Sep-14,New csfBGA pinouts,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,CABGA256,CABGA400,CABGA324,CSFBGA324,CSFBGA256
81,PL17A,4,-,True_OF_PL17B,-,,+,K3,N1,K4,L15,M16
82,GND,-,-,-,-,,-,-,-,-,-,-
83,PL17B,4,-,Comp_OF_PL17A,-,,-,K2,N2,L2,L14,L15
84,PL17C,4,-,True_OF_PL17D,-,,-,-,P1,-,-,-
85,VCCIO4,4,-,-,-,,-,-,-,-,-,-
86,PL17D,4,-,Comp_OF_PL17C,-,,-,-,P2,-,-,-
87,PL18A,3,-,True_OF_PL18B,-,,+,-,N3,L4,M17,-
88,VCCIO3,3,-,-,-,,+,-,-,-,-,-
89,PL18B,3,-,Comp_OF_PL18A,-,,+,-,N4,M2,M16,-
90,PL18C,3,-,True_OF_PL18D,-,,+,-,M6,M1,M15,-
91,GND,-,-,-,-,,-,-,-,-,-,-
92,PL18D,3,-,Comp_OF_PL18C,-,,-,-,M7,L6,M14,-
93,PL19A,3,-,True_OF_PL19B,-,,-,L1,P3,N1,N18,N16
94,VCC,-,-,-,-,,-,-,-,-,-,-
95,PL19B,3,-,Comp_OF_PL19A,-,,-,L3,P4,N2,M18,M15
96,PL19C,3,-,True_OF_PL19D,-,,-,K4,R1,M3,N17,K13
97,GND,-,-,-,-,,+,-,-,-,-,-
98,PL19D,3,-,Comp_OF_PL19C,-,,+,L5,R2,L5,N16,L14
99,PL21A,3,-,True_OF_PL21B,-,,+,-,T1,-,-,-
100,VCCIO3,3,-,-,-,,+,-,-,-,-,-
101,PL21B,3,-,Comp_OF_PL21A,-,,+,-,T2,-,-,-
102,PL21C,3,-,True_OF_PL21D,-,,+,K5,N5,M5,N15,M14
103,VCC,-,-,-,-,,+,-,-,-,-,-
104,PL21D,3,-,Comp_OF_PL21C,-,,+,L4,N6,N3,N14,L13
105,PL22A,3,PCLKT3_0,True_OF_PL22B,-,,+,L2,U1,P1,P18,P16
106,VCC,-,-,-,-,,+,-,-,-,-,-
107,PL22B,3,PCLKC3_0,Comp_OF_PL22A,-,,+,M1,U2,M4,P17,N15
108,PL22C,3,-,True_OF_PL22D,-,,+,-,R3,-,-,-
109,GND,-,-,-,-,,-,-,-,-,-,-
110,PL22D,3,-,Comp_OF_PL22C,-,,-,-,R4,-,-,-
111,PL23A,3,-,True_OF_PL23B,-,,-,-,T3,R1,P16,-
112,GND,-,-,-,-,,+,-,-,-,-,-
113,PL23B,3,-,Comp_OF_PL23A,-,,+,-,T4,P3,P15,-
114,PL23C,3,-,True_OF_PL23D,-,,+,N2,V1,P2,P14,P15
115,VCCIO3,3,-,-,-,,+,-,-,-,-,-
116,PL23D,3,-,Comp_OF_PL23C,-,,+,P1,V2,M6,P13,R16
117,PL24A,3,-,True_OF_PL24B,-,,+,M3,V3,N4,R18,R15
118,VCC,-,-,-,-,,+,-,-,-,-,-
119,PL24B,3,-,Comp_OF_PL24A,-,,+,N1,V4,T1,R17,T15
120,PL24C,3,-,True_OF_PL24D,-,,+,-,P5,R2,R16,-
121,GND,-,-,-,-,,-,-,-,-,-,-
122,PL24D,3,-,Comp_OF_PL24C,-,,-,-,P6,U1,R15,-
123,PL25A,3,-,True_OF_PL25B,-,,-,M2,T5,T2,T18,M13
124,VCCIO3,3,-,-,-,,-,-,-,-,-,-
125,PL25B,3,-,Comp_OF_PL25A,-,,-,N3,R5,N5,T17,N13
126,PL25C,3,-,True_OF_PL25D,-,,-,R1,U4,P4,T16,N14
127,GND,-,-,-,-,,+,-,-,-,-,-
128,PL25D,3,-,Comp_OF_PL25C,-,,+,P2,U5,R3,T15,P14
129,VCC,-,-,-,-,,+,-,-,-,-,-
130,NC,-,-,-,-,,+,-,-,-,-,-
131,VCCIO2,2,-,-,-,,-,-,-,-,-,-
132,PB4A,2,-,True_OF_PB4B,-,,-,P4,W1,V2,U18,P13
133,GND,-,-,-,-,,+,-,-,-,-,-
134,PB4B,2,-,Comp_OF_PB4A,-,,+,T4,Y1,U3,V17,R14
135,PB4C,2,-,True_OF_PB4D,-,,+,T2,R6,R4,U17,N12
136,VCCIO2,2,-,-,-,,+,-,-,-,-,-
137,PB4D,2,-,Comp_OF_PB4C,-,,+,R3,T6,P6,U16,M12
138,NC,-,-,-,-,,+,-,-,-,-,-
139,PB6A,2,CSSPIN,True_OF_PB6B,-,,+,R5,W2,T3,V16,T13
140,GND,-,-,-,-,,-,-,-,-,-,-
141,PB6B,2,-,Comp_OF_PB6A,-,,-,P5,Y2,U4,V15,T14
142,PB6C,2,-,True_OF_PB6D,-,,-,-,P7,P5,U15,-
143,VCC,-,-,-,-,,-,-,-,-,-,-
144,PB6D,2,-,Comp_OF_PB6C,-,,-,-,R7,R6,T14,-
145,PB7C,2,-,True_OF_PB7D,-,,-,-,V6,R5,R14,-
146,VCC,-,-,-,-,,-,-,-,-,-,-
147,PB7D,2,-,Comp_OF_PB7C,-,,-,-,U6,T4,R13,-
148,PB7A,2,-,True_OF_PB7B,-,,-,T3,W3,V3,U14,P12
149,VCCIO2,2,-,-,-,,-,-,-,-,-,-
150,PB7B,2,-,Comp_OF_PB7A,-,,-,R4,Y3,V4,V14,R13
151,PB9A,2,-,True_OF_PB9B,-,,-,T5,W4,T5,V13,M11
152,GND,-,-,-,-,,+,-,-,-,-,-
153,PB9B,2,-,Comp_OF_PB9A,-,,+,R6,Y4,U5,U13,N11
154,PB9C,2,-,True_OF_PB9D,-,,+,-,P8,N7,T13,-
155,GND,-,-,-,-,,-,-,-,-,-,-
156,PB9D,2,-,Comp_OF_PB9C,-,,-,-,R8,P7,M12,-
157,PB10C,2,-,True_OF_PB10D,-,,-,-,T7,-,-,-
158,VCCIO2,2,-,-,-,,-,-,-,-,-,-
159,PB10D,2,-,Comp_OF_PB10C,-,,-,-,T8,-,-,-
160,PB10A,2,-,True_OF_PB10B,-,,-,N6,W5,N8,N12,R12
161,VCCIO2,2,-,-,-,,-,-,-,-,-,-
162,PB10B,2,-,Comp_OF_PB10A,-,,-,L7,Y5,R7,P12,P11
163,NC,-,-,-,-,,-,-,-,-,-,-
164,PB12A,2,MCLK/CCLK,True_OF_PB12B,-,,-,P6,W6,T6,R12,T12
165,GND,-,-,-,-,,+,-,-,-,-,-
166,PB12B,2,SO/SPISO,Comp_OF_PB12A,-,,+,T6,Y6,U6,T12,R11
167,PB12C,2,-,True_OF_PB12D,-,,+,-,P9,-,-,-
168,NC,-,-,-,-,,+,-,-,-,-,-
169,GND,-,-,-,-,,-,-,-,-,-,-
170,PB12D,2,-,Comp_OF_PB12C,-,,-,-,R9,-,-,-
171,PB13A,2,-,True_OF_PB13B,-,,-,R7,W7,V5,U12,N10
172,VCC,-,-,-,-,,-,-,-,-,-,-
173,PB13B,2,-,Comp_OF_PB13A,-,,-,P7,Y7,V6,V12,M10
174,PB13C,2,-,True_OF_PB13D,-,,-,M7,V8,T7,M11,P10
175,VCCIO2,2,-,-,-,,-,-,-,-,-,-
176,PB13D,2,-,Comp_OF_PB13C,-,,-,N7,U9,P8,N11,R10
177,PB15C,2,-,True_OF_PB15D,-,,-,-,V9,U7,T11,-
178,VCCIO2,2,-,-,-,,-,-,-,-,-,-
179,PB15D,2,-,Comp_OF_PB15C,-,,-,-,T9,R8,U11,-
180,PB15A,2,-,True_OF_PB15B,-,,-,M6,W8,V7,P11,T11
181,GND,-,-,-,-,,+,-,-,-,-,-
182,PB15B,2,-,Comp_OF_PB15A,-,,+,L8,Y8,U8,R11,T10
183,NC,-,-,-,-,,+,-,-,-,-,-
184,PB16A,2,PCLKT2_0,True_OF_PB16B,-,,+,T7,W9,T8,V11,T9
185,GND,-,-,-,-,,-,-,-,-,-,-
186,PB16B,2,PCLKC2_0,Comp_OF_PB16A,-,,-,R8,Y9,T9,V10,R9
187,PB16C,2,-,True_OF_PB16D,-,,-,-,P10,R9,M10,-
188,VCCIO2,2,-,-,-,,-,-,-,-,-,-
189,PB16D,2,-,Comp_OF_PB16C,-,,-,-,R10,P9,N10,-
190,PB18A,2,-,True_OF_PB18B,-,,-,P8,Y10,V8,P10,N9
191,GND,-,-,-,-,,+,-,-,-,-,-
192,NC,-,-,-,-,,+,-,-,-,-,-
193,PB18B,2,-,Comp_OF_PB18A,-,,+,T8,W10,U9,R10,M9
194,PB18C,2,-,True_OF_PB18D,-,,+,N8,U10,N9,T10,P9
195,VCC,-,-,-,-,,+,-,-,-,-,-
196,PB18D,2,-,Comp_OF_PB18C,-,,+,L9,V10,N10,U10,P8
197,PB21C,2,-,True_OF_PB21D,-,,+,-,U11,T10,P9,-
198,GND,-,-,-,-,,-,-,-,-,-,-
199,PB21D,2,-,Comp_OF_PB21C,-,,-,-,T10,R10,N9,-
200,PB21A,2,-,True_OF_PB21B,-,,-,M8,Y11,V9,T9,R8
201,VCCIO2,2,-,-,-,,-,-,-,-,-,-
202,PB21B,2,-,Comp_OF_PB21A,-,,-,N9,W11,U10,R9,T8
203,NC,-,-,-,-,,-,-,-,-,-,-
204,PB23A,2,PCLKT2_1,True_OF_PB23B,-,,-,T9,Y12,V10,U9,T7
205,VCCIO2,2,-,-,-,,-,-,-,-,-,-
206,PB23B,2,PCLKC2_1,Comp_OF_PB23A,-,,-,P9,W12,U11,V9,R7
207,PB23C,2,-,True_OF_PB23D,-,,-,-,P11,P10,M9,-
208,VCC,-,-,-,-,,-,-,-,-,-,-
