# Revision 1.0,13-Feb-14,Initial release,,,,,,,,,,
# Revision 1.1,14-May-14,"Added csfBGA256, csfBGA324, caBGA324, caBGA400 packages",,,,,,,,,,
# Revision 1.2,12-Sep-14,New csfBGA pinouts,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,CABGA256,CABGA400,CABGA324,CSFBGA324,CSFBGA256
361,PR7D,1,-,Comp_OF_PR7C,-,,-,G13,J15,F17,G4,E3
362,VCC,-,-,-,-,,-,-,-,-,-,-
363,PR7B,1,-,Comp_OF_PR7A,-,,-,F16,F20,H15,F2,E2
364,PR7C,1,-,True_OF_PR7D,-,,-,F12,J14,H14,G5,F3
365,GND,-,-,-,-,,+,-,-,-,-,-
366,PR7A,1,-,True_OF_PR7B,-,,+,F14,F19,G16,F1,D1
367,PR6D,1,-,Comp_OF_PR6C,-,,+,G12,E20,D18,F4,G5
368,VCCIO1,1,-,-,-,,+,-,-,-,-,-
369,PR6B,1,-,Comp_OF_PR6A,-,,+,-,F18,-,-,-
370,PR6C,1,-,True_OF_PR6D,-,,+,F13,G17,E17,F3,F4
371,VCC,-,-,-,-,,+,-,-,-,-,-
372,PR6A,1,-,True_OF_PR6B,-,,+,-,G16,-,-,-
373,PR5D,1,-,Comp_OF_PR5C,-,,+,-,E19,-,-,-
374,VCC,-,-,-,-,,+,-,-,-,-,-
375,PR5B,1,-,Comp_OF_PR5A,-,,+,F15,F17,F16,E2,C1
376,PR5C,1,-,True_OF_PR5D,-,,+,-,D20,-,-,-
377,GND,-,-,-,-,,-,-,-,-,-,-
378,PR5A,1,-,True_OF_PR5B,-,,-,E16,D19,G15,E1,D2
379,PR4D,1,-,Comp_OF_PR4C,-,,-,D15,H15,H13,E3,C3
380,GND,-,-,-,-,,+,-,-,-,-,-
381,PR4B,1,-,Comp_OF_PR4A,-,,+,-,C20,D17,D2,-
382,PR4C,1,-,True_OF_PR4D,-,,+,C16,H14,E16,F5,D3
383,VCCIO1,1,-,-,-,,+,-,-,-,-,-
384,PR4A,1,-,True_OF_PR4B,-,,+,-,B20,F15,D1,-
385,PR3D,1,-,Comp_OF_PR3C,-,,+,-,D18,G14,D3,-
386,VCC,-,-,-,-,,+,-,-,-,-,-
387,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-,,+,E14,E17,C18,C1,C2
388,PR3C,1,-,True_OF_PR3D,-,,+,-,F16,G13,C2,-
389,GND,-,-,-,-,,-,-,-,-,-,-
390,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-,,-,D16,C19,E15,B1,B1
391,PR2D,1,-,Comp_OF_PR2C,-,,-,B16,G15,D16,E4,E4
392,VCCIO1,1,-,-,-,,-,-,-,-,-,-
393,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-,,-,E15,C18,C17,F6,B2
394,PR2C,1,-,True_OF_PR2D,-,,-,C15,F15,F14,E5,D4
395,GND,-,-,-,-,,+,-,-,-,-,-
396,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-,,+,D14,D17,B18,G7,A2
397,NC,-,-,-,-,,+,-,-,-,-,-
398,VCC,-,-,-,-,,+,-,-,-,-,-
399,PT36B,0,-,Comp_OF_PT36A,TRUE,,-,A15,A20,A17,A2,B3
400,GND,-,-,-,-,,+,-,-,-,-,-
401,NC,-,-,-,-,,+,-,-,-,-,-
402,PT36D,0,DONE,Comp_OF_PT36C,-,,+,C13,A19,E14,D4,D5
403,PT36A,0,-,True_OF_PT36B,TRUE,,+,B14,B19,B16,B2,A3
404,VCCIO0,0,-,-,-,,+,-,-,-,-,-
405,PT36C,0,INITN,True_OF_PT36D,-,,+,A13,C17,C16,C3,C4
406,PT35D,0,-,Comp_OF_PT35C,-,,+,-,F14,D15,D5,-
407,GND,-,-,-,-,,-,-,-,-,-,-
408,NC,-,-,-,-,,-,-,-,-,-,-
409,PT35B,0,-,Comp_OF_PT35A,TRUE,,-,B12,D16,A16,B3,B4
410,PT35C,0,-,True_OF_PT35D,-,,-,-,G14,D14,C4,-
411,VCC,-,-,-,-,,-,-,-,-,-,-
412,PT35A,0,-,True_OF_PT35B,TRUE,,-,C12,E15,A15,A3,A4
413,PT34B,0,-,Comp_OF_PT34A,TRUE,,-,A14,B18,C15,B4,E5
414,VCC,-,-,-,-,,-,-,-,-,-,-
415,NC,-,-,-,-,,-,-,-,-,-,-
416,PT34D,0,-,Comp_OF_PT34C,-,,-,-,D15,E13,E6,-
417,PT34A,0,-,True_OF_PT34B,TRUE,,-,B13,A18,C14,A4,E6
418,VCCIO0,0,-,-,-,,-,-,-,-,-,-
419,PT34C,0,-,True_OF_PT34D,-,,-,-,E14,D13,C5,-
420,PT33D,0,-,Comp_OF_PT33C,-,,-,-,F13,F12,C6,-
421,VCCIO0,0,-,-,-,,-,-,-,-,-,-
422,PT33B,0,-,Comp_OF_PT33A,TRUE,,-,A12,C16,B15,B5,C5
423,PT33C,0,-,True_OF_PT33D,-,,-,-,G13,E12,D6,-
424,NC,-,-,-,-,,-,-,-,-,-,-
425,GND,-,-,-,-,,+,-,-,-,-,-
426,PT33A,0,-,True_OF_PT33B,TRUE,,+,B11,C15,B14,A5,D6
427,PT32B,0,-,Comp_OF_PT32A,TRUE,,+,D11,B17,C13,B6,B5
428,VCC,-,-,-,-,,+,-,-,-,-,-
429,PT32D,0,-,Comp_OF_PT32C,-,,+,-,D14,-,-,-
430,PT32A,0,-,True_OF_PT32B,TRUE,,+,F10,A17,F11,A6,A5
431,NC,-,-,-,-,,+,-,-,-,-,-
432,VCCIO0,0,-,-,-,,+,-,-,-,-,-
433,PT32C,0,-,True_OF_PT32D,-,,+,-,C14,-,-,-
434,PT28D,0,-,Comp_OF_PT28C,-,,+,-,F12,-,-,-
435,GND,-,-,-,-,,-,-,-,-,-,-
436,PT28B,0,-,Comp_OF_PT28A,TRUE,,-,C11,B16,A14,C7,B6
437,PT28C,0,-,True_OF_PT28D,-,,-,-,G12,-,-,-
438,VCCIO0,0,-,-,-,,-,-,-,-,-,-
439,PT28A,0,-,True_OF_PT28B,TRUE,,-,A11,A16,A13,D7,A6
440,PT27B,0,-,Comp_OF_PT27A,TRUE,,-,E10,B15,B13,B7,E7
441,GND,-,-,-,-,,+,-,-,-,-,-
442,NC,-,-,-,-,,+,-,-,-,-,-
443,PT27D,0,PROGRAMN,Comp_OF_PT27C,-,,+,B10,D13,D12,E7,C6
444,PT27A,0,-,True_OF_PT27B,TRUE,,+,D10,A15,C12,A7,D7
445,VCC,-,-,-,-,,+,-,-,-,-,-
446,NC,-,-,-,-,,+,-,-,-,-,-
447,PT27C,0,JTAGENB,True_OF_PT27D,-,,+,C10,C13,D11,F7,C7
448,PT26B,0,-,Comp_OF_PT26A,TRUE,,+,E11,B14,A12,F8,A7
449,VCCIO0,0,-,-,-,,+,-,-,-,-,-
450,PT26D,0,-,Comp_OF_PT26C,-,,+,-,C12,E11,D8,-
451,PT26A,0,-,True_OF_PT26B,TRUE,,+,F9,A14,A11,G8,B7
452,VCCIO0,0,-,-,-,,+,-,-,-,-,-
453,PT26C,0,-,True_OF_PT26D,-,,+,-,D12,E10,E8,-
454,PT25D,0,-,Comp_OF_PT25C,-,,+,-,F11,F10,G9,-
455,GND,-,-,-,-,,-,-,-,-,-,-
456,NC,-,-,-,-,,-,-,-,-,-,-
457,PT25B,0,-,Comp_OF_PT25A,TRUE,,-,A10,B13,C11,B8,E8
458,PT25C,0,-,True_OF_PT25D,-,,-,-,G11,F9,C8,-
459,VCCIO0,0,-,-,-,,-,-,-,-,-,-
460,PT25A,0,-,True_OF_PT25B,TRUE,,-,B9,A13,B12,A8,D8
461,PT22B,0,-,Comp_OF_PT22A,TRUE,,-,D9,B12,B11,F9,C8
462,GND,-,-,-,-,,+,-,-,-,-,-
463,NC,-,-,-,-,,+,-,-,-,-,-
464,PT22D,0,SDA/PCLKC0_0,Comp_OF_PT22C,-,,+,C9,D11,D10,A9,B8
465,PT22A,0,-,True_OF_PT22B,TRUE,,+,F8,A12,C10,E9,C9
466,VCC,-,-,-,-,,+,-,-,-,-,-
467,NC,-,-,-,-,,+,-,-,-,-,-
468,PT22C,0,SCL/PCLKT0_0,True_OF_PT22D,-,,+,A9,C11,E9,B9,A8
469,PT21B,0,-,Comp_OF_PT21A,TRUE,,+,E9,A11,B10,C10,D9
470,GND,-,-,-,-,,-,-,-,-,-,-
471,PT21D,0,-,Comp_OF_PT21C,-,,-,-,C10,D9,D9,-
472,PT21A,0,-,True_OF_PT21B,TRUE,,-,D8,B11,A10,D10,E9
473,NC,-,-,-,-,,-,-,-,-,-,-
474,VCCIO0,0,-,-,-,,-,-,-,-,-,-
475,PT21C,0,-,True_OF_PT21D,-,,-,-,D10,C9,C9,-
476,PT18D,0,-,Comp_OF_PT18C,-,,-,-,F10,F8,E10,-
477,VCC,-,-,-,-,,-,-,-,-,-,-
478,NC,-,-,-,-,,-,-,-,-,-,-
479,PT18B,0,PCLKC0_1,Comp_OF_PT18A,TRUE,,-,A8,A10,B9,B10,A9
480,PT18C,0,-,True_OF_PT18D,-,,-,-,G10,E8,F10,-
481,GND,-,-,-,-,,+,-,-,-,-,-
482,PT18A,0,PCLKT0_1,True_OF_PT18B,TRUE,,+,C8,B10,A9,A10,B9
483,PT17B,0,-,Comp_OF_PT17A,TRUE,,+,E8,A9,A8,G10,A10
484,NC,-,-,-,-,,+,-,-,-,-,-
485,NC,-,-,-,-,,+,-,-,-,-,-
486,PT17D,0,TMS,Comp_OF_PT17C,-,,+,B8,D9,C8,E11,C11
487,PT17A,0,-,True_OF_PT17B,TRUE,,+,F7,B9,B8,G11,B10
488,VCCIO0,0,-,-,-,,+,-,-,-,-,-
489,PT17C,0,TCK,True_OF_PT17D,-,,+,A7,C9,C7,F11,C10
490,NC,-,-,-,-,,+,-,-,-,-,-
491,PT16B,0,-,Comp_OF_PT16A,TRUE,,+,D7,A8,E7,D11,B11
492,GND,-,-,-,-,,-,-,-,-,-,-
493,PT16D,0,-,Comp_OF_PT16C,-,,-,-,C8,-,-,-
494,PT16A,0,-,True_OF_PT16B,TRUE,,-,E6,B8,D8,C11,A11
495,VCCIO0,0,-,-,-,,-,-,-,-,-,-
496,NC,-,-,-,-,,-,-,-,-,-,-
497,PT16C,0,-,True_OF_PT16D,-,,-,-,D8,-,E12,-
498,PT15D,0,-,Comp_OF_PT15C,-,,-,-,F9,-,-,-
499,VCCIO0,0,-,-,-,,-,-,-,-,-,-
500,PT15B,0,-,Comp_OF_PT15A,TRUE,,-,C7,A7,B7,B11,A12
501,PT15C,0,-,True_OF_PT15D,-,,-,-,G9,-,-,-
502,VCC,-,-,-,-,,-,-,-,-,-,-
503,PT15A,0,-,True_OF_PT15B,TRUE,,-,B7,B7,A7,A11,B12
504,PT14B,0,-,Comp_OF_PT14A,TRUE,,-,E7,A6,A6,B12,D10
505,GND,-,-,-,-,,+,-,-,-,-,-
506,NC,-,-,-,-,,+,-,-,-,-,-
507,PT14D,0,TDI,Comp_OF_PT14C,-,,+,A6,C7,C6,D12,C12
508,PT14A,0,-,True_OF_PT14B,TRUE,,+,D6,B6,B6,A12,E10
509,VCCIO0,0,-,-,-,,+,-,-,-,-,-
510,PT14C,0,TDO,True_OF_PT14D,-,,+,C6,E8,D7,C12,D11
511,NC,-,-,-,-,,+,-,-,-,-,-
512,PT13D,0,-,Comp_OF_PT13C,-,,+,-,F8,-,-,-
513,VCCIO0,0,-,-,-,,+,-,-,-,-,-
514,PT13B,0,-,Comp_OF_PT13A,TRUE,,+,-,A5,D6,A13,-
515,PT13C,0,-,True_OF_PT13D,-,,+,-,G8,-,-,-
516,GND,-,-,-,-,,-,-,-,-,-,-
517,NC,-,-,-,-,,-,-,-,-,-,-
518,PT13A,0,-,True_OF_PT13B,TRUE,,-,-,B5,C5,B13,-
519,PT12B,0,-,Comp_OF_PT12A,TRUE,,-,B4,A4,A5,B14,D12
520,GND,-,-,-,-,,+,-,-,-,-,-
521,PT12D,0,-,Comp_OF_PT12C,-,,+,-,D7,-,-,-
522,PT12A,0,-,True_OF_PT12B,TRUE,,+,A3,B4,A4,A14,C13
523,VCCIO0,0,-,-,-,,+,-,-,-,-,-
524,NC,-,-,-,-,,+,-,-,-,-,-
525,PT12C,0,-,True_OF_PT12D,-,,+,-,C6,-,C13,-
526,PT11D,0,-,Comp_OF_PT11C,-,,+,-,E7,B5,D13,-
527,VCCIO0,0,-,-,-,,+,-,-,-,-,-
528,PT11B,0,-,Comp_OF_PT11A,TRUE,,+,B6,A3,B4,B15,B13
529,PT11C,0,-,True_OF_PT11D,-,,+,-,D6,D5,C14,-
530,VCC,-,-,-,-,,+,-,-,-,-,-
531,NC,-,-,-,-,,+,-,-,-,-,-
532,PT11A,0,-,True_OF_PT11B,TRUE,,+,A5,B3,A3,A15,A13
533,PT10D,0,-,Comp_OF_PT10C,-,,+,-,D5,E6,F12,-
534,GND,-,-,-,-,,-,-,-,-,-,-
535,PT10B,0,-,Comp_OF_PT10A,TRUE,,-,C5,A2,C4,B16,E11
536,PT10C,0,-,True_OF_PT10D,-,,-,-,E6,F7,E13,-
537,NC,-,-,-,-,,-,-,-,-,-,-
538,NC,-,-,-,-,,-,-,-,-,-,-
539,PT10A,0,-,True_OF_PT10B,TRUE,,-,A4,B2,C3,A16,E12
540,PT9D,0,-,Comp_OF_PT9C,-,,-,-,F7,E5,D14,-
541,VCCIO0,0,-,-,-,,-,-,-,-,-,-
542,NC,-,-,-,-,,-,-,-,-,-,-
543,PT9B,0,-,Comp_OF_PT9A,TRUE,,-,B5,A1,B3,B17,B14
544,PT9C,0,-,True_OF_PT9D,-,,-,B3,G7,D4,C15,A15
545,GND,-,-,-,-,,+,-,-,-,-,-
546,PT9A,0,-,True_OF_PT9B,TRUE,,+,C4,B1,A2,A17,A14
547,VCC,-,-,-,-,,+,-,-,-,-,-
0,GND,-,-,-,-,,-,R15,C5,V18,A1,A1
0,GND,-,-,-,-,,-,R2,D3,V1,A18,A16
0,GND,-,-,-,-,,-,P14,D4,U2,F13,F5
0,GND,-,-,-,-,,-,P3,E5,U17,G6,F10
0,GND,-,-,-,-,,-,N13,E9,N13,H12,G7
0,GND,-,-,-,-,,-,N4,E10,N6,H7,G8
0,GND,-,-,-,-,,-,M12,E11,K10,J13,G9
0,GND,-,-,-,-,,-,M5,E12,K9,J7,G10
0,GND,-,-,-,-,,-,L11,E13,J10,K11,G11
0,GND,-,-,-,-,,-,L6,E16,J9,K7,H6
0,GND,-,-,-,-,,-,J9,E18,F13,L12,H11
0,GND,-,-,-,-,,-,J8,G18,F6,L7,J6
0,GND,-,-,-,-,,-,H9,H5,B2,M6,J11
0,GND,-,-,-,-,,-,H8,K3,B17,N13,K5
0,GND,-,-,-,-,,-,F11,K10,A18,V1,K6
0,GND,-,-,-,-,,-,F6,L8,A1,V18,K7
0,GND,-,-,-,-,,-,E12,L10,-,-,K8
0,GND,-,-,-,-,,-,E5,L11,-,-,K9
0,GND,-,-,-,-,,-,D13,K11,-,-,K10
0,GND,-,-,-,-,,-,D4,L18,-,-,K11
0,GND,-,-,-,-,,-,C14,M11,-,-,K12
0,GND,-,-,-,-,,-,C3,N7,-,-,L6
0,GND,-,-,-,-,,-,B15,R18,-,-,T1
0,GND,-,-,-,-,,-,B2,T15,-,-,T16
0,GND,-,-,-,-,,-,-,U3,-,-,-
0,GND,-,-,-,-,,-,-,U7,-,-,-
0,GND,-,-,-,-,,-,-,U8,-,-,-
0,GND,-,-,-,-,,-,-,U13,-,-,-
0,GND,-,-,-,-,,-,-,U16,-,-,-
0,GND,-,-,-,-,,-,-,V5,-,-,-
0,GND,-,-,-,-,,-,-,V7,-,-,-
0,GND,-,-,-,-,,-,-,V11,-,-,-
0,GND,-,-,-,-,,-,-,V18,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-,-
0,VCC,-,-,-,-,,-,T16,H12,M12,J10,H7
0,VCC,-,-,-,-,,-,T1,H13,L9,J11,H8
0,VCC,-,-,-,-,,-,K10,J9,L8,J12,H9
0,VCC,-,-,-,-,,-,K7,J10,L11,J8,H10
0,VCC,-,-,-,-,,-,G10,J11,L10,J9,J7
0,VCC,-,-,-,-,,-,G7,K12,H9,K10,J8
0,VCC,-,-,-,-,,-,A16,L9,H8,K8,J9
0,VCC,-,-,-,-,,-,A1,L12,H11,K9,J10
0,VCC,-,-,-,-,,-,-,M10,H10,-,-
0,VCC,-,-,-,-,,-,-,M12,G12,-,-
0,VCC,-,-,-,-,,-,-,-,-,-,-
0,VCC,-,-,-,-,,-,-,-,-,-,-
0,VCC,-,-,-,-,,-,-,-,-,-,-
0,VCC,-,-,-,-,,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,G9,H8,G8,H10,F6
0,VCCIO0,0,-,-,-,,-,G8,H9,G9,H11,F7
0,VCCIO0,0,-,-,-,,-,D12,H10,G10,H8,F8
0,VCCIO0,0,-,-,-,,-,D5,H11,G11,H9,F9
0,VCCIO0,0,-,-,-,,-,-,J12,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,M13,J13,L12,H6,G6
0,VCCIO1,1,-,-,-,,-,J10,K13,K11,J6,H5
0,VCCIO1,1,-,-,-,,-,H10,L13,J11,K6,J5
0,VCCIO1,1,-,-,-,,-,E13,M13,H12,L6,-
0,VCCIO1,1,-,-,-,,-,-,N13,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,N12,N8,M9,L10,L7
0,VCCIO2,2,-,-,-,,-,N5,N9,M8,L11,L8
0,VCCIO2,2,-,-,-,,-,K9,N10,M11,L8,L9
0,VCCIO2,2,-,-,-,,-,K8,N11,M10,L9,L10
0,VCCIO2,2,-,-,-,,-,-,N12,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,,-,M4,M8,L7,L13,L11
0,VCCIO3,3,-,-,-,,-,-,M9,M7,M13,L12
0,VCCIO3,3,-,-,-,,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,,-,-,-,-,-,-
0,VCCIO4,4,-,-,-,,-,J7,K8,J8,K12,H12
0,VCCIO4,4,-,-,-,,-,H7,K9,K8,K13,J12
0,VCCIO4,4,-,-,-,,-,-,-,-,-,-
0,VCCIO4,4,-,-,-,,-,-,-,-,-,-
0,VCCIO4,4,-,-,-,,-,-,-,-,-,-
0,VCCIO5,5,-,-,-,,-,E4,J7,G7,G13,F11
0,VCCIO5,5,-,-,-,,-,-,J8,H7,H13,G12
0,VCCIO5,5,-,-,-,,-,-,-,-,-,-
0,VCCIO5,5,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,A2,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,1,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,2,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,5,-,-,-,,-,-,-,-,-,-
0,NC,5,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,3,-,-,-,,-,-,-,-,-,-
0,NC,5,-,-,-,,-,-,-,-,-,-
0,NC,5,-,-,-,,-,-,-,-,-,-
0,VCC,-,-,-,-,,-,-,-,-,-,-
0,VCC,-,-,-,-,,-,-,-,-,-,-
0,NC,-,-,-,-,,-,-,-,-,-,-
